PMID,title,abstract
15892200,Workshop convened on HIV/hepatitis coinfection.,
15899165,[Usefulness of pharmacokinetics in the management of antiretroviral therapy].,
15905743,Therapeutic drug monitoring of nevirapine reduces pharmacokinetic variability but does not affect toxicity or virologic success in the ATHENA study.,
15910009,Application and impact of population pharmacokinetics in the assessment of antiretroviral pharmacotherapy.,"Population pharmacokinetics has been an important technique used to explore and define relevant sources of variation in drug exposure and response in patient populations. This has been especially true in the area of antiretroviral therapy where the assurance of adequate and sustained drug exposure of multiple agents is highly correlated with therapeutic success. Population pharmacokinetic analyses across the four drug classes and 20 US FDA-approved products used to treat HIV have been published to date. The published reports were predominantly based on actual clinical trials conducted in HIV-infected patients with one or more agents administered. Modelling and simulation approaches have been used in the evaluation of antiretroviral agent outcomes incorporating problematic design and analysis factors such as sparse plasma sampling, data imbalance and censored data. Additional benefits of population modelling approaches applied to the investigation of antiretroviral agents include the ability to assess dosing compliance, understanding and quantifying drug-drug interactions in order to select dosing regimens and the screening of new drug candidates. Pharmacokinetic/pharmacodynamic models have been used to characterise the relationship between drug exposure and virological and immunological response, and to predict clinical outcome. These models offer the best opportunity for individualising and optimising patient therapy, particularly when adjusted for adherence/compliance. The impact of population pharmacokinetics in the area of antiretroviral therapy can be directly assessed by its role in the validation of surrogate markers such as viral RNA load, therapeutic drug monitoring and the management of individual patient outcomes via exposure-toxicity relationships. Each of these population pharmacokinetic outcomes has contributed to the current regulatory environment, specifically in the area of accelerated approval of new antiretroviral agents."
15918329,Current status and future prospects of therapeutic drug monitoring and applied clinical pharmacology in antiretroviral therapy.,"The consensus of current international guidelines for the treatment of HIV infection is that data on therapeutic drug monitoring (TDM) of non-nucleoside reverse transcriptase inhibitors and protease inhibitors provide a framework for the implementation of TDM in certain defined scenarios in clinical practice. However, the utility of TDM is considered to be on an individual basis until more data are obtained from large clinical trials showing the benefit of TDM. In April 2004, a panel of experts met in Rome, Italy. This followed an inaugural meeting in Perugia, Italy, in October 2000, which resulted in the article published in AIDS 2002, 16(Suppl 1):S5-S37. The objectives of this second meeting were to review the questions surrounding TDM of antiretroviral drugs and discuss the clinical utility, current concerns and future prospects of drug concentration monitoring in the care of HIV-1-infected individuals. This report, which has been updated to include material published or presented at international conferences up to the end of September 2004, reviews pharmacokinetic and pharmacodynamic data and reports the issues discussed by the panel, offering advice to clinical care providers who may be currently, or are considering incorporating TDM into the routine care of their patients. In addition, the panel formulated a series of position statements that are relevant to the interpretation of current data and can aid the design of future clinical trials."
15927437,Determination of atazanavir in human plasma using solid-phase extraction and high-performance liquid chromatography.,"Atazanavir is a new HIV-1 protease inhibitor. A simple high-performance liquid chromatographic method using UV detection was developed and validated for the analysis of atazanavir in human plasma. The sample clean up was carried out using solid-phase extraction with OASIS MCX cartridge. The chromatographic separation was achieved on a Kromasil C18 (150 mm x 3 mm, 5 microm) column with a mobile phase consisting of acetonitrile and water (38:62 v/v) delivered isocratically. The effluent of the column was monitored at a wavelength of 210 nm. The assay was linear over the concentration range of 0.156 to 10 microg/ml and the limit of quantification was 0.156 microg/ml. The method was also validated with respect to recovery, precision, accuracy and specificity. This method is suitable for therapeutic drug monitoring of atazanavir and can be easily reproduced with standard equipment."
15930890,No pharmacokinetic drug-drug interaction between nevirapine and paclitaxel.,"We have investigated the pharmacokinetics of nevirapine and paclitaxel in a patient who used both drugs concomitantly, as there are strong theoretical indications for a potential pharmacokinetic drug-drug interaction. Plasma concentrations of nevirapine (dose: 200 mg twice daily orally) and paclitaxel (dose: 100 mg/m(2) 3-h i.v. infusion) were determined in a HIV-1-infected patient with Kaposi's sarcoma. Since both drugs are metabolized via the same cytochrome P450 isoenzymes, investigation of a drug-drug interaction was considered important. We found that the plasma concentrations of nevirapine given together with paclitaxel were similar to those given without paclitaxel. The exposures to paclitaxel (AUC(0-infinity) = 3787 h.ng/ml) and its hydroxy metabolites when co-administered with nevirapine were comparable to the mean exposure to paclitaxel and its metabolites from eight historical controls (AUC(0-infinity) = 3614 h.ng/ml) treated with the same dose. No pharmacokinetic drug-drug interaction between nevirapine and paclitaxel could be demonstrated in our HIV-1-infected patient."
15969776,A drug dosage table is a useful tool to facilitate prescriptions of antiretroviral drugs for children in Thailand.,"Scaling up of antiretroviral treatment (ART) for children in countries like Thailand will require decentralization and management by non-specialist doctors. We describe (a) the formulation of a standardized drug dosage table to facilitate antiretroviral drug (ARV) prescriptions for children, (b) the acceptability of such a table among doctors and (c) the safety and efficacy of drug doses in the table. Acceptability was assessed using a questionnaire. Safety and efficacy were assessed on the basis of incidence of adverse effects and virological response to treatment, respectively. Of all doctors (n=18), 17 (94%) found that the table was practical to use, avoided miscalculations and made them more confident with prescriptions. Of 49 children prescribed ARVs, less than 5% had adverse side-effects. All ARV-naive children achieved undetectable viral loads within six months of ART. In our setting, a standardized drug dosage table provided a simple and reliable tool that facilitated ARV prescriptions for children."
15980618,FHD: an index to evaluate drug elimination by hemodialysis.,"BACKGROUND: In hemodialyzed patients, physicians have to (1) adjust drug dosage for a creatinine clearance lower than 10-15 ml/min and (2) know whether or not the drug will be removed by the dialysis session to decide whether it may be administered before or after the session on dialysis days. However, of several indices being used to evaluate drug removal by dialysis none is appropriate and we suggest a novel index named F(HD), which reflects the role of hemodialysis clearance of a drug in its overall clearance during the session. METHODS: Pharmacokinetic simulations were performed to test the influence of dialysis on the pharmacokinetics of some drugs, whether F(HD) was considered or not, to determine when to administer the drug. F(HD) was then calculated for several drugs and its value compared with other indices. Five hemodialysis patients from our department for whom the time of drug administration was determined according to F(HD) were included in a small study and their drugs' trough concentrations were monitored. RESULTS: F(HD) emphasized that considering hemodialysis clearance alone may lead to false interpretations of the potential dialyzability of some drugs. In our patients, who received their treatment according to the 'F(HD) rule', monitoring of trough levels gave satisfactory results. CONCLUSION: The use of the 'F(HD) rule' should be tested on a long-term administration basis to confirm our conclusion. F(HD )could be the index of choice to determine when to administer a drug, before or after the session, in hemodialysis patients."
15983027,Impact of rosiglitazone treatment on the bioavailability of antiretroviral compounds in HIV-positive patients.,"OBJECTIVES: The insulin-sensitizer rosiglitazone is under investigation for therapy of HIV-associated lipodystrophy syndrome (LDS). Little is known about pharmacological interactions with antiretroviral (ARV) drugs. METHODS: Therapeutic drug monitoring (TDM) of ARV drugs was performed in a prospective study before and at day 28 after start of treatment with 4 mg of rosiglitazone for combined LDS. Drug levels were measured in the morning fasting, and 0.5, 1, 2, 4, 6 and 8 h after standardized drug intake. Values were log-transformed for analysis. RESULTS: Twelve males and six females were assessed; mean age was 50.7 years and mean CD4 cell count was 496 cells/mm(3). All patients had a viral load below 50 copies/mL, and backbone ARV therapy consisted of two or three nucleoside reverse transcriptase inhibitors in all cases. After administration of rosiglitazone, no significant differences in Cmax, Cmin and AUC were found in cases treated with efavirenz (n = 10) and lopinavir (n = 4). Mean Cmax of nevirapine (n = 4) was reduced significantly [-0.44; 95% confidence interval (CI) -0.86 to -0.01]. Furthermore, there was a consistent trend to a reduction in the geometric mean ratio (GMR) of Cmax, Cmin and AUC (GMR of Cmax 0.95; 95% CI 0.9-1.0; GMR of Cmin 0.89; 95% CI 0.65-1.13; GMR of AUC 0.96; 95% CI 0.91-1.01). CONCLUSIONS: Treatment with 4 mg of rosiglitazone for HIV-associated LDS is likely to reduce the bioavailability of nevirapine. Thus, routine TDM is recommended for patients treated with rosiglitazone and nevirapine. A therapy consisting of efavirenz or lopinavir seems to be without negative impact. Further studies on the interaction of rosiglitazone with ARV drugs are necessary."
15991644,[Efavirenz].,
16010160,Early monitoring of ribavirin plasma concentrations may predict anemia and early virologic response in HIV/hepatitis C virus-coinfected patients.,"Ribavirin (RBV) in combination with pegylated interferon alpha (pegIFN) is currently the standard treatment of hepatitis C virus (HCV) infection. The development of anemia requires a reduction in RBV doses in a substantial proportion of patients, limiting their chances of treatment response. The primary goal of this study was to assess if early monitoring of RBV plasma levels could help to predict anemia as well as early HCV RNA response in HIV/HCV-coinfected individuals. The secondary goal was to evaluate if antiretroviral drugs might influence RBV plasma levels. Plasma RBV concentrations were measured at weeks 4 and 12 in 98 HIV/HCV-coinfected individuals who initiated therapy with pegIFN-2a (180 microg/wk) plus RBV (800-1200 mg/d). RBV plasma levels correlated with RBV dose per kilogram of body weight (P = 0.02). Larger drops in hemoglobin levels were independently associated with higher RBV plasma levels and zidovudine (ZDV) use (P < 0.001). Likewise, higher RBV levels (P = 0.007) and HCV genotype 3 (P < 0.001) were found to be independent predictors of virologic response at week 4. Similar findings were obtained at week 12. Patients receiving ZDV concomitantly showed significantly higher RBV plasma concentrations compared with those who did not (3.28 mug/mL vs. 2.51 mug/mL; P = 0.002). RBV levels were not significantly altered by the coadministration of other nucleoside/nucleotide analogues. In summary, RBV plasma levels correlate with the development of anemia and with the achievement of an early virologic response. Therefore, early therapeutic drug monitoring might help to tailor RBV dosages, improving the efficacy and safety of anti-HCV treatment."
16038472,Therapeutic drug monitoring and drug-drug interactions involving antiretroviral drugs.,"The consensus of current international guidelines for the treatment of HIV infection is that data on therapeutic drug monitoring (TDM) of non-nucleoside reverse transcriptase inhibitors (NNRTIs) and protease inhibitors (Pls) provide a framework for the implementation of TDM in certain defined scenarios in clinical practice. However, the utility of TDM is considered to be on an individual basis until more data are obtained from large clinical trials showing the benefit of TDM. In April 2004, a panel of experts met for the second time in Rome, Italy. This was following the inaugural meeting in Perugia, Italy, in October 2000, which resulted in the manuscript published in AIDS 2002, 16(Suppl 1):S5-S37. The objectives of this second meeting were to review and update the numerous questions surrounding TDM of antiretroviral drugs and discuss the clinical utility, current concerns and future prospects of drug concentration monitoring in the care of HIV-1-infected individuals. A major focus of the meeting was to discuss and critically analyse recent and precedent clinical drug-drug interaction data to provide a clear framework of the pharmacological basis of how one drug may impact the disposition of another. This report, which has been updated to include material published or presented at international conferences up to the end of December 2004, reviews recent pivotal pharmacokinetic interaction data and provides advice to clinical care providers on how some drug-drug interactions may be prevented, avoided or managed, and, when data are available, on what dose adjustments and interventions should be performed."
16044006,Therapeutic drug monitoring of efavirenz: trough levels cannot be estimated on the basis of earlier plasma determinations.,"OBJECTIVE: The few studies evaluating the relation between efavirenz (EFV) plasma levels and efficacy have only shown a weak association. They are based on population pharmacokinetics and/or estimation of trough levels from samples obtained at different time points, because this drug is usually taken at bedtime. We explore whether a limited sampling strategy could provide a good estimation of EFV trough levels and area under the curve (AUC). METHODS: Fifty-nine 24-hour profiles from patients on 600 mg of EFV administered once daily were included for the analysis. Plasma drug concentrations were determined by a validated high-performance liquid chromatography assay. The relation between EFV plasma concentrations at C8, C12, and C16 and the corresponding C24 and AUC0-24 values were assessed in different index sets, and their predictive performances were evaluated in the validation sets. RESULTS: EFV plasma levels at C12 and C16 are precise predictors of AUC0-24 (<or=10% mean relative prediction errors). The estimation of C24 levels from EFV plasma concentrations at C8, C12, or C16 is not precise enough (18%-62% mean relative prediction errors), however, and the use of C12 and C16 in combination does not improve the accuracy of C24 prediction. CONCLUSION: No adequate substitute for collecting blood 24 hours after dosing emerged from this analysis, which might explain the weak association observed between EFV plasma levels and treatment outcomes in the studies available."
16044095,TDM: therapeutic drug measuring or therapeutic drug monitoring?,"The third round of the International Interlaboratory Quality Control Program for Therapeutic Drug Monitoring in HIV infection (QC-program) consisted of the analysis not only of plasma samples but also of patient cases. The case was composed of different topics related to the therapeutic drug monitoring of antiretroviral drugs. The participants were asked to give recommendations concerning dose adjustments, changes to the regimen, and drug-drug interactions to observe whether the expert recommendations were comparable. Of the 30 participants of the QC-program, 16 returned their comments and recommendations with regard to the patient case. The drug level was easy to judge: approximately 90% were able to correctly do so. Almost half of the recommendations (44%) given were satisfactory. Levels of knowledge regarding HIV treatment appeared to be variable among the respondents and for this reason were partly incomparable."
16044111,Determination of nevirapine and efavirenz in plasma using GC/MS in selected ion monitoring mode.,"An accurate, selective, and sensitive method for the determination of the nonnucleoside reverse transcriptase inhibitors (NNRTIs) nevirapine (nvp) and efavirenz (efv) in human plasma using gas chromatography-mass spectroscopy in selected ion monitoring mode (GC/MS-SIM) was developed. Solid-phase extraction (SPE) gave extraction yields near 100% for both nvp and efv, and calibration curves were linear over the therapeutic concentration ranges. Variation of intraday and interday precision was below 5%. Intraday and interday inaccuracies varied between 0.6% and 10.4%. The lower limits of detection using a 200-microL plasma sample were 27 ng/mL for nvp and 26 ng/mL for efv, and the lower limits of quantification were 54 ng/mL and 72 ng/mL, respectively. The method was applied to the determination of nvp and efv in plasma specimens of 73 patients in HIV stage III or IV and on antiretroviral treatment in Kigali, Rwanda."
16091250,Therapeutic drug monitoring: pharmacologic considerations for antiretroviral drugs.,"Therapeutic drug monitoring (TDM) is the process by which a patient's dosing regimen is guided by repeated measures of plasma drug concentrations. An enormous challenge with regard to TDM of antiretroviral drugs (ARV) is that the concentration goals can be moving targets. Well-designed prospective studies demonstrating that prospectively altering ARV doses based on TDM leads to virologic success and increased tolerability are needed. Nevertheless, there are specific clinical instances where this experimental intervention should be considered to potentially reduce toxicity and improve therapeutic outcomes."
16120068,Therapeutic drug monitoring of atazanavir: surveillance of pharmacotherapy in the clinic.,"BACKGROUND: Therapeutic failure with antiretroviral therapy (ART) is a substantial issue where viral rebound, viral resistance and drug-related toxicity remain serious concerns. Drug exposure-response relationships have been described for the protease inhibitors, pharmacokinetic variability is substantial for this class of drugs and drug interactions can also alter ART exposure. Given this background we established a therapeutic drug monitoring (TDM) service to monitor atazanavir (ATV) plasma concentrations early after the therapy was made available to treatment-experienced people infected with HIV who were managed in a clinical setting. METHODS: This was a prospective observational study which evaluated plasma samples from 110 highly treatment-experienced people with HIV using TDM and applied pharmacokinetic analysis over a five month period. RESULTS: ATV trough concentrations exhibited substantial intersubject variability (<25-2108 microg l(-1)). A substantial number of subjects (50%,13/26) who received ATV400 mg daily had low exposure to ATV. Serum bilirubin concentrations correlated significantly with higher ATV trough concentrations (rho = 0.803; P < 0.001) and 55% (29/53) of subjects who received ATV300/100 mg RTV daily had plasma concentrations above a proposed target concentration associated with elevated bilirubin concentrations. This study confirmed low ATV exposure in eight subjects with HIV receiving ATV 400 mg daily. Reasons for low ATV exposure in this cohort include administration of interacting drugs, including a possible interaction with ritonavir, fluticasone and ATV, impaired ATV absorption secondary to suspected achlorhydria and potential interactions with colchicine and nandrolone. Viral load remained undetectable in most of these subjects with low ATV exposure. CONCLUSIONS: TDM and targeted pharmacokinetic studies should be viewed as fundamental tools in the development and clinical application of ART, to improve pharmacotherapy for people with HIV."
16123694,Adherence to first-line antiretroviral regimens in Rwanda.,
16156885,Clinical benefit of interventions driven by therapeutic drug monitoring.,"BACKGROUND: Adequate plasma concentrations of antiretroviral drugs are key to achieving and maintaining long-term suppression of HIV replication. Multiple factors may influence drug levels, causing increases or reductions that may, respectively, result in toxicity or virological failure. Therapeutic drug monitoring (TDM) might help to detect and correct such abnormalities. OBJECTIVE: To evaluate the usefulness of TDM in the care of HIV-infected patients in an out-patient clinical setting. METHOD: S All the requests for TDM of protease inhibitors (PIs) and nonnucleoside reverse transcriptase inhibitors (NNRTIs) for patients attending our HIV out-patient clinic from October 2000 to August 2003 were analysed. Blood samples were collected before the morning dose. Drug concentrations were measured by high performance liquid chromatography by ultraviolet waves (HPLC-UV). R:A total of 151 requests from 137 patients were assessed. The reasons for requesting TDM were drug toxicity (59%), virological failure (39%) and possible drug interactions (2%). NNRTI levels were more often requested because of toxicity, while PI levels were more often requested because of virological failure. Elevated drug levels were confirmed in 36% of patients with suspected drug toxicity, while subtherapeutic levels were found in 37% of patients failing virologically. Based on the results of TDM, dose modifications were made in 37% of patients, allowing correction of such abnormalities in 80% of cases. Moreover, adequate plasma concentrations were confirmed in 79% of patients whose levels were assessed again. CONCLUSIONS: Therapeutic drug monitoring may be a useful tool to identify toxic levels of NNRTI and subtherapeutic concentrations of PI. Dose adjustments following TDM may ameliorate drug-related toxicities or improve virological response rates."
16175128,Limited sampling strategy for the estimation of systemic exposure to the protease inhibitor nelfinavir.,"Therapeutic drug monitoring (TDM) of antiretroviral drugs has been proposed as a means of optimizing response to highly active antiretroviral therapy (HAART) in HIV infection because suboptimal exposure to these agents may lead to the development of resistant viral strains and subsequent therapeutic failure. The area under the curve (AUC), though considered to make the best estimate of total drug exposure, requires repeated blood sampling. The authors investigated the predictability of individual nelfinavir (NFV) concentrations at different time points for the AUC and tried to find the best sampling time for the abbreviated AUC to predict NFV total body exposure. A total of 99 NFV AUC0-12h values were measured in 99 patients receiving a 1250-mg oral dose twice a day. Venous blood samples were collected at baseline (predose, 0) and 1, 2, 3, 4, 5, 6, 8, and 12 hours postdose. A stepwise forward-selection, multiple-regression technique was chosen to assess the relative importance of single and combination concentration time points to predict the AUC calculated from the entire pharmacokinetic profile. Data were split into a development set and a validation set. The development set contained 49 randomly selected HIV patients. Of these, 22 HIV patients were coinfected with HCV, 7 with and 15 without cirrhosis. One-point predictors provided the lowest prediction precision, but predictive performance improved after the first 2 hours postdose. Plasma concentrations at 0 and 4 hours after the oral dose were most predictive if 2 variables were used in the regression equation. The AUC could be estimated from data for these 2 samples by using the following equation: AUC0-12 = 3.0 + 2.7 (C0) + 6.4 (C4), r = 92. The predictive performance of 2-point predictors at 0 and 4 hours (C0 + C4) was validated by comparing their ability to predict the full AUC in a validation set representative of HIV/HCV patients (n = 28) and HIV/HCV patients, with (n = 8) and without (n = 14) cirrhosis. The results showed a mean bias ranging from +2.7% in HIV/HCV patients to -6.0% in HCV coinfection with cirrhosis. The authors conclude that this result is clinically significant. The limited sampling strategy (LSS) described could be used in clinical practice for the easy assessment of the total exposure to NFV in HIV/HCV patients, both with and without cirrhosis."
16176117,Clinical pharmacokinetics and summary of efficacy and tolerability of atazanavir.,"The efficacy of HIV-1 protease inhibitors (PIs) as part of highly active antiretroviral therapy is now well established and has provided benefits to many patients with HIV infection. Atazanavir is a new azapeptide PI compound that was recently approved in the US and Europe. Atazanavir is recommended in combination with other antiretroviral agents for the treatment of HIV-1 infection. Atazanavir is rapidly absorbed and administration of a single dose of atazanavir with a light meal resulted in a 70% increase in area under the plasma concentration-time curve (AUC); therefore atazanavir should be taken with food. Atazanavir is 86% bound to human serum protein independently of concentration. Concentration in body fluids appeared to be lower than plasma concentration. Like other PIs, atazanavir is extensively metabolised by hepatic cytochrome P450 (CYP) 3A isoenzymes. The mean terminal elimination half-life in healthy volunteers was approximately 7 hours at steady state following administration of atazanavir 400 mg daily with a light meal. When atazanavir 300 mg was coadministered with ritonavir 100 mg on a once-daily dosage regimen, atazanavir AUC from 0 to 24 hours and minimum plasma concentration were increased by 3- to 4-fold and approximately 10-fold, respectively, compared with atazanavir 300 mg alone. Therefore, ritonavir boosted atazanavir regimen (ritonavir 100 mg and atazanavir 300 mg once daily) is increasingly favoured in some patients. Efavirenz, a potent CYP3A inducer, decreased atazanavir concentrations by 75% and, unexpectedly, tenofovir, a nucleotide reverse transcriptase inhibitor, decreased atazanavir concentrations by 25%. Average predose concentrations in HIV-infected patients who received atazanavir 400mg once daily were 273 ng/mL, which was believed to be several-fold higher than protein-binding corrected 50% inhibitory concentration of wild-type viruses. In HIV-infected patients who received once-daily ritonavir (100mg) boosted atazanavir (300 mg), mean (+/-SD) trough concentration was 862 (+/-838) ng/mL. Several clinical trials showed the efficacy of atazanavir 400 mg once daily with a nucleoside analogue backbone in antiretroviral-naive patients. The atazanavir 300/ritonavir 100 mg once-daily combination coadministered with other antiretrovirals showed the efficacy of this strategy in patients receiving efavirenz or in moderately antiretroviral-experienced HIV-infected patients. Recommended once-daily doses of atazanavir taken with food are either 400 mg or 300 mg in combination with low dose ritonavir (100 mg) in moderately antiretroviral-experienced patients. Major advantages of atazanavir to date are its simplicity of administration (once-daily administration) and its less undesirable effect on the lipid profiles in patients."
16182761,Role of therapeutic drug monitoring in a patient with human immunodeficiency virus infection and end-stage liver disease undergoing orthotopic liver transplantation.,"Pharmacological interactions between protease inhibitors and tacrolimus require careful monitoring to prevent toxicity in the posttransplantation period. A 42-year-old man with human immunodeficiency virus (HIV) infection and end-stage liver disease due to hepatitis C virus (HCV) received an orthotopic liver transplant. At the time of surgery the patient was on triple antiretroviral therapy (tenofovir, lamivudine, and lopinavir/ritonavir) with a stable CD4(+) count (>500 cells/mm(3)) and HIV-1 RNA (<50 copies/mL). Immunosuppression was maintained with tacrolimus (0.5 mg at a single dose once per week). One month after surgery HCV recurrence was documented. Pharmacokinetic evaluation of lopinavir/ritonavir showed a rapid increase in the area under the curve. Drug concentrations returned to normal levels, with reduction in liver enzymes. At the same time, tacrolimus dosages were reduced to a maintenance dose of 0.5 mg every 2 weeks. The patient, at 17 months postoperatively, is alive in good health with normal liver function and HCV RNA load levels. This is the first case in which a profound change in the pharmacokinetics of a protease inhibitor caused by a drug-drug interaction was observed during transient liver damage. Because this clinical event is particularly common in HIV-infected patients, our findings suggest that therapeutic drug monitoring should be performed to determine the impact of potential drug interactions in the early posttransplantation period, at the time of resumption of therapy or introduction of new anti-retroviral therapy and during HCV recurrence in order to optimize both tacrolimus and protease inhibitor treatment."
16193530,Quantification of antiretroviral drugs in dried blood spot samples by means of liquid chromatography/tandem mass spectrometry.,"For the first time approved antiretroviral drugs, i.e. protease inhibitors (PI) and non-nucleoside reverse transcriptase inhibitors (NNRTI), were quantified in dried blood spots (DBS) from HIV/AIDS patient whole blood samples as the basis for therapeutic drug monitoring (TDM) by a robust simultaneous liquid chromatography/tandem mass spectrometry (LC/MS/MS) method. This study included seven PI (amprenavir, nelfinavir, indinavir, lopinavir, saquinavir, ritonavir, atazanavir) and two NNRTI (nevirapine, efavirenz). LC/MS/MS coupling was realized using a Phenomenex Synergy Max RP LC column (150 x 2 mm, 4 micro) in combination with a tandem mass spectrometer (API 2000, Applied Biosystems/MDS Sciex Concord) operating in positive and negative multiple reaction monitoring (MRM) mode with reserpine as internal standard. DBS samples were punched out and extracted with 50:50 MeOH/0.2 M ZnSO4 (v/v) as extraction reagent. The method performance data for the drugs in DBS like limits of detection (LOD, 8-70 ng/mL), lower limits of quantification (LLOQ, 41-102 ng/mL), linearity (R2, 0.9981-0.9999), linear concentration ranges (41-10.000 ng/mL), accuracies (92-113%), recoveries (62-94%), and ion suppression were investigated and are comparable to data obtained from human plasma, which is the current standard matrix for TDM of PI and NNRTI. In this case, off-line plasma sample preparation was performed by means of simple protein precipitation with 80:20 methanol/0.2 M ZnSO4 (v/v) as precipitation reagent. Significant correlations between real patient plasma and DBS were obtained for samples containing lopinavir, atazanavir, ritonavir, saquinavir, and efavirenz. DBS preparation as sampling alternative is well suited and practicable for TDM minimizing the high infection risk of HIV/AIDS samples and may facilitate sample mailing."
16267739,"Prediction of neuropsychiatric adverse events associated with long-term efavirenz therapy, using plasma drug level monitoring.","BACKGROUND: Data on long-term central nervous system (CNS) toxicity associated with efavirenz therapy are scarce, and risk factors remain largely unknown. We aimed to determine whether monitoring the plasma concentration of efavirenz could predict neuropsychiatric adverse events associated with long-term therapy with efavirenz. METHODS: We performed a longitudinal study involving 17 consecutive human immunodeficiency virus (HIV)-infected subjects with virological suppression after at least 6 months of antiretroviral therapy with an efavirenz-containing regimen. Efavirenz plasma concentrations were measured at study entry and at different time points through an 18-month study period. RESULTS: Median duration of efavirenz therapy before study entry was 18 months (range, 6-27 months). Ten (58.8%) of the patients experienced CNS-related adverse effects, ranging from insomnia and abnormal dreams to depression with suicidal ideation. In 4 (23.5%) of the cases, CNS toxicity led to efavirenz discontinuation. Mean (+/- standard deviation) plasma levels were higher for patients experiencing neuropsychiatric symptoms (5.10 +/- 2.15 microg/mL vs. 2.79 +/- 1.31 microg/mL; P = .024). A plasma level of 2.74 microg/mL had a sensitivity of 90.9% and specificity of 72% to predict CNS toxicity (area under the curve, 0.839; 95% confidence interval, 0.73-0.95; P < .0001). Patients having efavirenz plasma concentrations > 2.74 microg/mL at any time point of the study were 5.68 times more likely to experiencing CNS toxicity than were other patients (95% confidence interval, 1.97-16.37). CONCLUSIONS: In patients with HIV infection receiving long-term therapy with efavirenz-containing antiretroviral regimens, CNS toxicity is related to efavirenz plasma levels. Patients achieving higher plasma levels are at increased risk of experiencing neuropsychiatric adverse events."
16313293,Depletion of mitochondrial DNA copies/cell in peripheral blood mononuclear cells in HIV-1-infected treatment-naive patients.,"OBJECTIVES: Mitochondrial toxicity is believed to be the main reason for adverse effects related to nucleoside reverse transcriptase inhibitors (NRTIs). The aim of the present study was to compare mitochondrial toxicity in NRTI-treated HIV-positive patients, HIV-positive treatment-naive patients and HIV-negative controls by comparing mitochondrial DNA (mtDNA) copies/cell in peripheral blood mononuclear cells (PBMCs) and lactate/pyruvate (L/P) ratios in the different groups. METHODS: We enrolled 60 participants in the study: 31 patients on combined antiretroviral therapy (CART), 14 HIV-positive treatment-naive patients and 15 HIV-negative controls. mtDNA (copies/cell) in peripheral blood was analysed using quantitative real-time polymerase chain reaction (PCR). Standard curves and serial dilutions of plasmid-cloned mitochondrion and retinoblastoma (RB1) PCR products with known concentrations were generated to estimate the mtDNA and nuclear DNA (nDNA) copy numbers in each sample. The L/P ratio was enzymatically and spectrophotometrically analysed in samples from individuals in a fasted, non-exercise state. Results The median mtDNA copy number was 63 copies/cell (interquartile range 33-94) in HIV-positive patients and 153 (132-283) in HIV-negative controls (P<0.001). No significant difference was seen between the HIV-positive NRTI-exposed patients and the HIV-positive treatment-naive patients. Current use of didanosine was negatively correlated with depletion of mtDNA (r=-0.36, P=0.046). HIV-positive patients also had a higher L/P ratio compared with HIV-negative controls (P=0.004). CONCLUSIONS: The number of mtDNA copies/cell in PBMCs was depleted in HIV-positive treatment-naive patients as well as in HIV-positive NRTI-exposed patients. HIV-positive patients also had a higher L/P ratio compared with HIV-negative controls, which supports this conclusion. The study suggests that neither mtDNA in PBMCs nor L/P ratio is a good marker of NRTI-associated mitochondrial toxicity."
16373004,Therapeutic drug monitoring and the inhibitory quotient of antiretroviral drugs: can they be applied to the current situation?,"Therapeutic drug monitoring is attracting growing interest as a means of increasing the effectiveness of antiretroviral therapy and of decreasing its toxicity, although data supporting this strategy are still scarce. Currently, nucleoside analog reverse-transcriptase inhibitors (NARTI) are not candidates because their effect depends on their active intracellular form and not on plasma concentration. Protease inhibitors (PI) and non-nucleoside analogue reverse-transcriptase inhibitors (NNARTI) meet the criteria for therapeutic drug monitoring. The main limitations are that the parameters to be monitored in order to measure exposure to the drug and the effective concentration of the drug have not been well defined. The few studies performed in treatment-naive patients have demonstrated that monitoring improves therapeutic efficacy. This strategy will be particularly useful when the risk of subtherapeutic or toxic concentrations is especially high (pharmacokinetic interactions, intestinal malabsorption, adverse effects, virological failure without obvious cause, pregnancy, children). Although it remains to be standardized, the inhibitory quotient integrates pharmacological and virological parameters and is useful in patients with prior virological failure. Any therapeutic drug monitoring program should be accompanied by measures to monitor and improve treatment adherence. There are good reasons to believe that therapeutic drug monitoring can be useful to improve treatment in specific circumstances. However, before its widespread use as a routine method can be recommended, the parameters to be used should be standardized and studies with appropriate methodology should be performed to define the role of therapeutic drug monitoring in distinct clinical situations."
16375615,"Pillboxes and antiretroviral adherence: prevalence of use, perceived benefits, and implications for electronic medication monitoring devices.","HIV treatment adherence is improved by behavioral interventions, including medication organizers such as pillboxes, which can also interfere with adherence electronic monitoring devices (EMD). This study examined the characteristics of pillbox users and the implications of pillbox use for research using EMD adherence research. Men and women (n = 160) currently taking antiretroviral medications (ARVs) completed anonymous surveys in a community research setting. Sixty-three (39%) of individuals taking ARVs were currently using a pillbox. Pillbox users were significantly more likely to have an undetectable viral load and less likely to have missed their medications within a day of the assessment. Pillbox users indicated feeling that they benefited from using their pillbox and 76% reported they would likely stop using their pillbox if required to participate in a research study that paid them. Adherence EMD pose methodological limitations to research when pillbox users are excluded and ethical implications when pillbox users stop using their pillbox to participate."
