Entry,Name,Name(TN),Disease,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8
"D00566
","Sodium salicylate (JP18/USP)
  ","Salsonin (TN)
  ","
",Analgesic,Anti-inflammatory,COX inhibitor,,,,,
"D00567
","Celecoxib (JP18/USP/INN)
  ","Celebrex (TN)
Onsenal (TN)
  ","Rheumatoid arthritis [DS:H00630]
Juvenile rheumatoid arthritis [DS:H01672]
Ankylosing spondylitis [DS:H01674]
  ",Analgesic,Anti-inflammatory,COX-2 inhibitor,,,,,
"D00568
","Rofecoxib (JAN/USAN/INN)
  ","Vioxx (TN)
  ","
",Analgesic,Anti-inflammatory,COX-2 inhibitor,,,,,
"D00569
","Phenacetin (JAN/INN)
  ","
","
",Antipyretic,,,,,,,
"D00570
","Colchicine (JP18/USP)
  ","Colchicine (TN)
  ","Gout flares [DS:H01532]
Familial mediterranean fever [DS:H00288]
  ",Gout suppressant,Leukocyte (neutrophil) migration inhibitor,Tubulin polymerization inhibitor,,,,,
"D00571
","Edetate calcium disodium anhydrous (USP)
  ","Calcium disodium versenate (TN)
  ","
",Antidote (lead),Chelating agent (metal),,,,,,
"D00572
","Succimer (USAN/INN)
meso-Dimercaptosuccinic acid
  ","Chemet (TN)
  ","
",Antidote (lead),Diagnostic aid,,,,,,
"D00573
","Goserelin acetate (JAN/USP)
  ","Zoladex (TN)
  ","Prostatic carcinoma [DS:H00024]
Endometriosis [DS:H01639]
Breast cancer [DS:H00031]
  ",Antineoplastic,Gonadotropin-releasing hormone receptor agonist,,,,,,
"D00574
","Aminoglutethimide (USP/INN)
  ","Cytadren (TN)
  ","
",Adrenocortical suppressant,Antineoplastic,Estrogen biosynthesis inhibitor,,,,,
"D00575
","Mestranol (JP18/USP/INN)
  ","
","
",Contraceptive,Estrogen receptor agonist,,,,,,
"D00576
","Quinestrol (USAN/INN)
  ","Estrovis (TN)
  ","
",Replenisher (estrogen),,,,,,,
"D00577
","Diethylstilbestrol (USP/INN)
  ","Stilbestrol (TN)
  ","
",Tocolytic,Estrogen receptor agonist,,,,,,
"D00578
","Voriconazole (JP18/USP/INN)
(abbr) VRC
  ","Vfend (TN)
  ","Invasive aspergillosis [DS:H01328]
Esophageal candidiasis [DS:H00363]
Scedosporiosis [DS:H02392]
  ",Antifungal,Ergosterol biosynthesis inhibitor,,,,,,
"D00579
","Foscarnet sodium (USP/INN)
  ","Foscavir (TN)
  ","CMV retinitis [DS:H00368]
HSV infections [DS:H00365]
  ",Antiviral,DNA polymerase inhibitor,,,,,,
"D00580
","Sulfadoxine (JAN/USP/INN)
  ","
","
",Antibacterial,Antimalarial,Folic acid biosynthesis inhibitor,,,,,
"D00581
","Iodoquinol (USP)
Diiodohydroxyquinoline (INN)
  ","Yodoxin (TN)
  ","
",Amebicide,,,,,,,
"D00582
","Sodium stibogluconate (INN)
  ","Pentostam (TN)
  ","
",Antiprotozoal,,,,,,,
"D00583
","Thiotepa (JAN/USP/INN)
  ","Thioplex (TN)
Tepadina (TN)
Rethio (TN)
  ","Beta-Thalassemia [DS:H00228]
Graft rejection [DS:H00083]
Adenocarcinoma of the breast or ovary [DS:H00031 H00027]
Papillary carcinoma of the urinary bladder [DS:H00022]
  ",Antineoplastic,Alkylating agent,,,,,,
"D00584
","Fluorouracil (JP18/USP/INN)
  ","5-FU (TN)
Adrucil (TN)
Carac (TN)
Fluoroplex (TN)
  ","Superficial basal cell carcinomas [DS:H00039]
  ",Antineoplastic,Antimetabolite,,,,,,
"D00585
","Mifepristone (JAN/USAN/INN)
  ","Korlym (TN)
Mifeprex (TN)
  ","
",Abortifacient,Contraceptive,Progesterone receptor antagonist,,,,,
"D00586
","Flutamide (JP18/USP/INN)
  ","Eulexin (TN)
  ","Prostate Carcinoma [DS:H00024]
  ",Antineoplastic,Androgen receptor antagonist,,,,,,
"D00587
","Sulfadiazine (JAN/USP/INN)
Sulfapyrimidine
  ","Sulfadiazine (TN)
  ","Chancroid [DS:H00305]
Trachoma [DS:H00439]
Nocardiosis [DS:H00345]
Toxoplasmosis encephalitis [DS:H00435]
Malaria [DS:H00361]
Meningococcal meningitis [DS:H00314]
  ",Antibacterial,Folic acid biosynthesis inhibitor,,,,,,
"D00588
","Levofloxacin (USP)
Levofloxacin hydrate (JP18)
Levofloxacin hemihydrate
  ","Iquix (TN)
Levaquin (TN)
Quixin (TN)
  ","Inhalational anthrax [DS:H00328]
Plague [DS:H00297]
Uncomplicated urinary tract infections [DS:H01176]
  ",Antibacterial,Nucleic acid biosynthesis inhibitor,,,,,,
"D00589
","Gatifloxacin (USAN)
Gatifloxacin hydrate (JP18)
GFLX
  ","Gatiflo (TN)
Tequin (TN)
Zymar (TN)
Zymaxid (TN)
  ","Bacterial conjunctivitis [DS:H01366]
  ",Antibacterial,Nucleic acid biosynthesis inhibitor,,,,,,
"D00590
","Sparfloxacin (JAN/USAN/INN)
(abbr) SPX
  ","Zagam (TN)
  ","
",Antibacterial,Nucleic acid biosynthesis inhibitor,,,,,,
"D00591
","Ethionamide (JP18/USP/INN)
(abbr) ETO
  ","Trecator (TN)
  ","Tuberculosis [DS:H00342]
  ",Antibacterial (tuberculostatic),,,,,,,
"D00592
","Dapsone (USP)
Diaphenylsulfone (JAN)
  ","Aczone (TN)
  ","Acne vulgaris [DS:H01445]
Dermatitis herpetiformis [DS:H01362]
Leprosy [DS:H00344]
  ",Antibacterial (leprostatic),,,,,,,
"D00593
","Glimepiride (JP18/USP/INN)
  ","Amaryl (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,Hypoglycemic,Sulfonylurea receptor agonist,,,,,
"D00594
","Repaglinide (JAN/USP/INN)
  ","Prandin (TN)
Surepost (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,Hypoglycemic,Sulfonylurea receptor agonist,,,,,
"D00595
","Buformin (USAN/INN)
  ","
","
",Antidiabetic,Hypoglycemic,,,,,,
"D00596
","Rosiglitazone maleate (JAN/USP)
  ","Avandia (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,Peroxisome proliferator-activated receptor (PPAR) gamma agonist,,,,,,
"D00597
","Acebutolol hydrochloride (JP18/USP)
  ","Sectral (TN)
  ","Hypertension [DS:H01633]
  ",Antiarrhythmic,Antihypertensive,Vasodilator,beta1-Adrenergic receptor antagonist,,,,
"D00598
","Betaxolol hydrochloride (JP18/USP)
  ","Betoptic (TN)
Kerlone (TN)
  ","Chronic open-angle glaucoma [DS:H00612]
Hypertension [DS:H01633]
  ",Antiglaucoma,Antihypertensive,Vasodilator,beta1-Adrenergic receptor antagonist,,,,
"D00599
","Carteolol hydrochloride (JP18/USP)
  ","Cartrol (TN)
Ocupress (TN)
  ","Chronic open-angle glaucoma [DS:H00612]
  ",Antiglaucoma,Antiarrhythmic,Antihypertensive,beta-Adrenergic receptor antagonist,,,,
"D00600
","Labetalol hydrochloride (JP18/USP)
  ","Normodyne (TN)
Trandate (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,alpha1/beta-Adrenergic receptor antagonist,,,,,,
"D00601
","Metoprolol tartrate (JP18/USP)
  ","Lopressor (TN)
  ","Hypertension [DS:H01633]
Angina pectoris [DS:H01632]
Myocardial infarction [DS:H01730]
  ",Antiarrhythmic,Antihypertensive,Vasodilator,beta1-Adrenergic receptor antagonist,,,,
"D00602
","Penbutolol sulfate (JP18/USP)
  ","Levatol (TN)
  ","
",Antihypertensive,beta-Adrenergic receptor antagonist,,,,,,
"D00603
","Timolol maleate (JP18/USP)
  ","Blocadren (TN)
Istalol (TN)
Timoptic (TN)
  ","Open-angle glaucoma [DS:H00612]
  ",Antiglaucoma,beta-Adrenergic receptor antagonist,,,,,,
"D00604
","Clonidine hydrochloride (JP18/USP)
  ","Nexiclon (TN)
Kapvay (TN)
Duraclon (TN)
Catapres (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,alpha2-Adrenergic receptor agonist,,,,,,
"D00605
","Guanabenz acetate (JP18/USP)
  ","Wytensin (TN)
  ","
",Antihypertensive,alpha2-Adrenergic receptor agonist,,,,,,
"D00606
","Guanfacine hydrochloride (JAN/USP)
  ","Intuniv (TN)
Tenex (TN)
  ","Attention deficit hyperactivity disorder [DS:H01895]
Hypertension [DS:H01633]
  ",Antihypertensive,alpha2-Adrenergic receptor agonist,,,,,,
"D00607
","Guanadrel sulfate (USAN)
  ","Hylorel (TN)
  ","
",Antihypertensive,alpha-Adrenergic receptor agonist,,,,,,
"D00608
","Doxazosin mesylate (USP)
Doxazosin mesilate (JP18)
  ","Cardura (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,alpha1-Adrenergic receptor antagonist,,,,,,
"D00609
","Prazosin hydrochloride (JP18/USP)
  ","Minipress (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,alpha1-Adrenergic receptor antagonist,,,,,,
"D00610
","Terazosin hydrochloride (USP)
Terazosin hydrochloride hydrate (JAN)
  ","Hytrin (TN)
  ","
",Antidysuria,Antihypertensive,alpha1-Adrenergic receptor antagonist,,,,,
"D00611
","Mecamylamine hydrochloride (USP)
  ","Inversine (TN)
  ","Essential hypertension [DS:H01633]
  ",Antihypertensive,,,,,,,
"D00612
","Trimetaphan camsilate (JAN/INN)
Trimetaphan camsylate
  ","Arfonad (TN)
  ","
",Antihypertensive,,,,,,,
"D00613
","Fenoldopam mesylate (USP)
  ","Corlopam (TN)
  ","
",Antihypertensive,Dopamine D1 receptor agonist,,,,,,
"D00614
","Sodium nitroprusside (USP)
Sodium nitroprusside hydrate (JAN)
  ","Nitropress (TN)
  ","Acute heart failure [DS:H01631]
  ",Antihypertensive,Vascular smooth muscle relaxant,,,,,,
"D00615
","Amlodipine besylate (USP)
Amlodipine besilate (JP18)
  ","Norvasc (TN)
  ","Hypertension [DS:H01633]
Chronic stable angina [DS:H01632]
Vasospastic angina [DS:H01632]
  ",Antihypertensive,Vasodilator,Calcium channel blocker,,,,,
"D00616
","Diltiazem hydrochloride (JP18/USP)
  ","Cardizem (TN)
Cartia XT (TN)
Dilacor XR (TN)
Dilt-CD (TN)
  ","Hypertension [DS:H01633]
Angina [DS:H01632]
  ",Antiarrhythmic,Antihypertensive,Vasodilator (coronary),Calcium channel blocker,,,,
"D00617
","Nicardipine hydrochloride (JP18/USAN)
  ","Cardene (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Vasodilator,Calcium channel blocker,,,,,
"D00618
","Nisoldipine (JAN/USAN/INN)
  ","Sular (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Vasodilator,Calcium channel blocker,,,,,
"D00619
","Verapamil hydrochloride (JP18/USP)
  ","Calan (TN)
Covera-hs (TN)
Vasolan (TN)
Verelan (TN)
  ","Hypertension [DS:H01633]
Angina [DS:H01632]
Atrial flutter [DS:H00731]
  ",Antiarrhythmic,Vasodilator,Calcium channel blocker,,,,,
"D00620
","Benazepril hydrochloride (JAN/USP)
  ","Lotensin (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Angiotensin-converting enzyme inhibitor,,,,,,
"D00621
","Enalapril maleate (JP18/USP)
  ","Renivace (TN)
Vasotec (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Vasodilator,Angiotensin-converting enzyme inhibitor,,,,,
"D00622
","Fosinopril sodium (USP)
  ","Monopril (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Angiotensin-converting enzyme inhibitor,,,,,,
"D00623
","Moexipril hydrochloride (USP)
  ","Univasc (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Angiotensin-converting enzyme inhibitor,,,,,,
"D00624
","Perindopril erbumine (JAN/USP)
  ","Aceon (TN)
  ","Hypertension [DS:H01633]
Coronary artery disease [DS:H01742]
  ",Antihypertensive,Angiotensin-converting enzyme inhibitor,,,,,,
"D00625
","Miglitol (JP18/USAN/INN)
  ","Glyset (TN)
  ","Type 2 diabetes mellitus [DS:H00409]
  ",Antidiabetic,alpha-Glucosidase inhibitor,,,,,,
"D00626
","Candesartan cilexetil (JP18/USP)
  ","Atacand (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Angiotensin II receptor antagonist,,,,,,
"D00627
","Telmisartan (JP18/USP/INN)
  ","Micardis (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Angiotensin II receptor antagonist,,,,,,
"D00628
","Secalciferol (JAN/USAN/INN)
  ","Osteo D (TN)
  ","
",Antirachitic,Regulator (calcium),Vitamin D receptor agonist,,,,,
"D00629
","Nitrendipine (JP18/USAN/INN)
  ","Baypress (TN)
  ","
",Antihypertensive,Vasodilator,Calcium channel blocker,,,,,
"D00630
","Isosorbide mononitrate (JP18/USP/INN)
  ","Imdur (TN)
Ismo (TN)
  ","Angina pectoris [DS:H01632]
  ",Vasodilator (coronary),,,,,,,
"D00631
","Bepridil hydrochloride (USAN)
Bepridil hydrochloride hydrate (JAN)
  ","Vascor (TN)
  ","
",Antiarrhythmic,Vasodilator (coronary),Calcium channel blocker,Sodium channel blocker,Potassium channel blocker,,,
"D00632
","Dobutamine hydrochloride (JP18/USP)
  ","Dobutrex (TN)
  ","
",Cardiotonic,beta1-Adrenergic receptor agonist,,,,,,
"D00633
","Dopamine hydrochloride (JP18/USP)
  ","Actopamin (TN)
Intropin (TN)
  ","Myocardial infarction [DS:H01730]
  ",Cardiotonic,Dopamine receptor agonist,,,,,,
"D00634
","Bisoprolol fumarate (JP18/USP)
  ","Zebeta (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Vasodilator,beta1-Adrenergic receptor antagonist,,,,,
"D00635
","Metoprolol succinate (USP)
  ","Toprol XL (TN)
  ","Hypertension [DS:H01633]
Angina pectoris [DS:H06132]
  ",Antihypertensive,Vasodilator,beta1-Adrenergic receptor antagonist,,,,,
"D00636
","Amiodarone hydrochloride (JP18/USP)
  ","Ancaron (TN)
Cordarone (TN)
Nexterone (TN)
  ","
",Antiarrhythmic,Potassium channel blocker,,,,,,
"D00637
","Disopyramide phosphate (JAN/USP)
  ","Norpace (TN)
  ","
",Antiarrhythmic,Sodium channel blocker,,,,,,
"D00638
","Flecainide acetate (JP18/USP)
  ","Tambocor (TN)
  ","Atrial fibrillation/flutter [DS:H00731]
  ",Antiarrhythmic,Sodium channel blocker,,,,,,
"D00639
","Mexiletine hydrochloride (JP18/USP)
  ","Mexitil (TN)
  ","
",Antiarrhythmic,Antihypertensive,Sodium channel blocker,,,,,
"D00640
","Propafenone hydrochloride (JP18/USP)
  ","Rythmol (TN)
  ","
",Antiarrhythmic,Sodium channel blocker,,,,,,
"D00641
","Quinfamide (USAN/INN)
  ","Amenide (TN)
  ","
",Amebicide,,,,,,,
"D00642
","Quinidine gluconate (USP)
  ","Quinaglute (TN)
  ","
",Antiarrhythmic,Sodium channel blocker,,,,,,
"D00643
","Quinidine polygalacturonate
  ","Cardioquin (TN)
  ","
",Antiarrhythmic,Sodium channel blocker,,,,,,
"D00644
","Esmolol hydrochloride (JAN/USP)
  ","Brevibloc (TN)
  ","Hypertension [DS:H01633]
  ",Antiarrhythmic,beta1-Adrenergic receptor antagonist,,,,,,
"D00645
","Bretylium tosylate (USP)
Bretylium tosilate (INN)
  ","Bretylol (TN)
  ","
",Antiarrhythmic,,,,,,,
"D00646
","Tolterodine (USAN/INN)
  ","
","
",Overactive bladder agent,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00647
","Dofetilide (JAN/USP/INN)
  ","Tikosyn (TN)
  ","
",Antiarrhythmic,Potassium channel blocker,,,,,,
"D00648
","Ibutilide fumarate (USP)
  ","Corvert (TN)
  ","
",Antiarrhythmic,Potassium channel blocker,,,,,,
"D00649
","Amiloride hydrochloride (USP)
  ","Midamor (TN)
  ","
",Diuretic,Epithelial sodium channel blocker,,,,,,
"D00650
","Bendroflumethiazide (JAN/USP/INN)
  ","Naturetin (TN)
  ","
",Antihypertensive,Diuretic,Na+-Cl- symport inhibitor,,,,,
"D00651
","Benzthiazide (JAN/INN)
  ","Exna (TN)
  ","
",Antihypertensive,Diuretic,Na+-Cl- symport inhibitor,,,,,
"D00652
","Brinzolamide (JAN/USP/INN)
  ","Azopt (TN)
  ","Open-angle glaucoma [DS:H00612]
  ",Antiglaucoma,Carbonic anhydrase inhibitor,,,,,,
"D00653
","Dorzolamide hydrochloride (JP18/USP)
  ","Trusopt (TN)
  ","Open-angle glaucoma [DS:H00612]
  ",Antiglaucoma,Carbonic anhydrase inhibitor,,,,,,
"D00654
","Hydroflumethiazide (JAN/USP/INN)
  ","Saluron (TN)
  ","
",Antihypertensive,Diuretic,Na+-Cl- symport inhibitor,,,,,
"D00655
","Methazolamide (JAN/USP/INN)
  ","Neptazane (TN)
  ","Open-angle glaucoma [DS:H00612]
  ",Antiglaucoma,Carbonic anhydrase inhibitor,,,,,,
"D00656
","Methyclothiazide (JAN/USP/INN)
  ","Enduron (TN)
  ","Hypertension [DS:H01633]
  ",Antihypertensive,Diuretic,Na+-Cl- symport inhibitor,,,,,
"D00657
","Polythiazide (JAN/USAN/INN)
  ","Renese (TN)
  ","
",Antihypertensive,Diuretic,Na+-Cl- symport inhibitor,,,,,
"D00658
","Trichlormethiazide (JP18/USP/INN)
  ","Naqua (TN)
  ","
",Antihypertensive,Diuretic,Na+-Cl- symport inhibitor,,,,,
"D00659
","Azelastine hydrochloride (JP18/USP)
  ","Astelin (TN)
  ","Allergic rhinitis [DS:H01360]
  ",Antiallergic,Antiasthmatic,H1 receptor antagonist,,,,,
"D00660
","Tazobactam (JP18/USP/INN)
  ","
","
",Antibacterial,Cell wall biosynthesis inhibitor,beta-Lactamase inhibitor,,,,,
"D00661
","Cevimeline hydrochloride (USAN)
Cevimeline hydrochloride hydrate (JAN)
  ","Evoxac (TN)
Saligren (TN)
  ","Sjögren's Syndrome [DS:H01502]
  ",Salivation accelaletor,Muscarinic acetylcholine receptor agonist,,,,,,
"D00662
","Azatadine maleate (USP)
  ","Optimine (TN)
  ","
",Antiallergic,H1 receptor antagonist,,,,,,
"D00663
","Brompheniramine maleate (USP)
  ","Dimetane (TN)
  ","
",Antiallergic,H1 receptor antagonist,,,,,,
"D00664
","Cetirizine hydrochloride (JP18/USP)
  ","Zyrtec (TN)
  ","
",Antiallergic,H1 receptor antagonist,,,,,,
"D00665
","Chlorpheniramine maleate (JP18/USP)
  ","Chlor-trimeton (TN)
Teldrin (TN)
  ","
",Antiallergic,H1 receptor antagonist,,,,,,
"D00666
","Clemastine fumarate (JP18/USP)
  ","Tavist (TN)
  ","Allergic rhinitis [DS:H01360]
  ",Antiallergic,H1 receptor antagonist,,,,,,
"D00667
","Demecarium bromide (USP/INN)
  ","Humorsol (TN)
  ","
",Antiglaucoma,Miotic,Acetylcholinesterase inhibitor,,,,,
"D00668
","Dexchlorpheniramine maleate (USP)
d-Chlorpheniramine maleate (JP18)
  ","Mylaramine (TN)
Polaramine (TN)
  ","Perennial and seasonal allergic rhinitis [DS:H01360]
  ",Antiallergic,Antipruritic,H1 receptor antagonist,,,,,
"D00669
","Diphenhydramine hydrochloride (JP18/USP)
  ","Benadryl (TN)
  ","Parkinsonism [DS:H01600]
Nighttime sleep-aid [DS:H01609]
  ",Antiallergic,H1 receptor antagonist,,,,,,
"D00670
","Donepezil hydrochloride (JP18/USP)
  ","Aricept (TN)
  ","Dementia of the Alzheimer’s type [DS:H00056]
  ",Dementia therapeutic agent,Acetylcholinesterase inhibitor,,,,,,
"D00671
","Fexofenadine hydrochloride (JP18/USP)
  ","Allegra (TN)
  ","Seasonal allergic rhinitis [DS:H01360]
  ",Antiallergic,H1 receptor antagonist,,,,,,
"D00672
","Hydroxyzine hydrochloride (JP18/USP)
Hydroxyzine dihydrochloride
  ","Atarax (TN)
Vistaril (TN)
  ","Atopic dermatitis [DS:H01358]
Contact dermatitis [DS:H01357]
  ",Antianxiety,Minor tranquilizer,H1 receptor antagonist,,,,,
"D00673
","Ranitidine hydrochloride (JP18/USP)
  ","Zantac (TN)
  ","Duodenal ulcer [DS:H01634]
Zollinger-Ellison syndrome [DS:H01522]
Gastric ulcer [DS:H01634]
GERD [DS:H01602]
  ",Anti-ulcerative,H2 receptor antagonist,,,,,,
"D00674
","Naratriptan hydrochloride (JAN/USP)
  ","Amerge (TN)
  ","
",Antimigraine,Vasoconstrictor,Serotonin receptor agonist,,,,,
"D00675
","Rizatriptan benzoate (JAN/USP)
  ","Maxalt (TN)
  ","
",Antimigraine,Vasoconstrictor,Serotonin receptor agonist,,,,,
"D00676
","Sumatriptan succinate (JAN/USP)
  ","Alsuma (TN)
Imitrex (TN)
Sumave dosepro (TN)
Zecutity (TN)
  ","Cluster headache [DS:H01588]
  ",Antimigraine,Vasoconstrictor,Serotonin receptor agonist,,,,,
"D00677
","Granisetron hydrochloride (JAN/USP)
  ","Kytril (TN)
  ","
",Anti-emetic,Serotonin 5-HT3 receptor antagonist,,,,,,
"D00678
","Ondansetron hydrochloride hydrate (JAN/USP)
Ondansetron hydrochloride
  ","Zofran (TN)
  ","
",Anti-emetic,Serotonin 5-HT3 receptor antagonist,,,,,,
"D00679
","Ergotamine tartrate (JP18/USP)
  ","Ergomar (TN)
  ","
",Antimigraine,Vasoconstrictor,alpha1-Adrenergic receptor antagonist,Serotonin receptor antagonist,,,,
"D00680
","Methylergonovine maleate (USP)
Methylergometrine maleate (JP18)
  ","Methergine (TN)
  ","
",Hemostatic,Oxytocic,,,,,,
"D00681
","Methysergide maleate (USP)
  ","Sansert (TN)
  ","
",Antimigraine,Vasoconstrictor,Serotonin receptor agonist/antagonist,,,,,
"D00682
","Carboprost tromethamine (USP)
  ","Hemabate (TN)
  ","
",Oxytocic,Prostaglandin F receptor agonist,,,,,,
"D00683
","Albuterol sulfate (USP)
Salbutamol sulfate (JP18)
  ","Accuneb (TN)
Proventil (TN)
Ventolin (TN)
  ","
",Bronchodilator,beta2-Adrenergic receptor agonist,,,,,,
"D00684
","Bitolterol mesylate (USAN)
Bitolterol mesilate (JAN)
  ","Tornalate (TN)
  ","
",Bronchodilator,beta2-Adrenergic receptor agonist,,,,,,
"D00685
","Metaproterenol sulfate (USP)
Orciprenaline sulfate (JP18)
  ","Alupent (TN)
  ","Bronchial asthma [DS:H00079]
Emphysema [DS:H01714]
  ",Bronchodilator,beta2-Adrenergic receptor agonist,,,,,,
"D00686
","Pirbuterol acetate (USAN)
  ","Maxair (TN)
  ","
",Bronchodilator,beta2-Adrenergic receptor agonist,,,,,,
"D00687
","Salmeterol xinafoate (JAN/USP)
  ","Serevent (TN)
  ","Asthma [DS:H00079]
Chronic obstructive pulmonary disease [DS:H01714]
  ",Bronchodilator,beta2-Adrenergic receptor agonist,,,,,,
"D00688
","Terbutaline sulfate (JP18/USP)
  ","Brethine (TN)
  ","Asthma [DS:H00079]
Emphysema [DS:H01714]
  ",Bronchodilator,beta2-Adrenergic receptor agonist,,,,,,
"D00689
","Beclomethasone dipropionate (USP)
Beclometasone dipropionate (JP18)
  ","Beclovent (TN)
Qnasl (TN)
Vanceril (TN)
  ","Asthma [DS:H00079]
Allergic rhinitis [DS:H01360]
  ",Antiasthmatic,Anti-inflammatory,Glucocorticoid receptor agonist,,,,,
"D00690
","Mometasone furoate (JAN/USP)
  ","Asmanex (TN)
Elocon (TN)
  ","Asthma [DS:H00079]
Seasonal allergic rhinitis [DS:H01360]
  ",Antiasthmatic,Anti-inflammatory,Glucocorticoid receptor agonist,,,,,
"D00691
","Dyphylline (USP)
Diprophylline (JAN/INN)
  ","Lufyllin (TN)
  ","
",Bronchodilator,Cardiotonic,Phosphodiesterase inhibitor,,,,,
"D00693
","Chlordiazepoxide hydrochloride (JAN/USP)
  ","Librium (TN)
  ","Alcoholism [DS:H01611]
  ",Sedative-hypnotic,,,,,,,
"D00694
","Clorazepate dipotassium (JP18/USP)
  ","Tranxene (TN)
  ","Anxiety disorders [DS:H01662]
  ",Antianxiety,Minor tranquilizer,,,,,,
"D00695
","Flurazepam hydrochloride (USP)
Flurazepam dihydrochloride
  ","Dalmane (TN)
  ","
",Anticonvulsant,Muscle relaxant,Sedative-hypnotic,,,,,
"D00696
","Midazolam hydrochloride (USAN)
  ","Versed (TN)
  ","
",Anesthetic (intravenous),Sedative-hypnotic,,,,,,
"D00697
","Flumazenil (JAN/USP/INN)
  ","Romazicon (TN)
  ","
",Antidote (benzodiazepines),Respiratory stimulant,,,,,,
"D00698
","Aprobarbital (INN)
  ","Alurate (TN)
  ","
",Sedative-hypnotic,,,,,,,
"D00699
","Butabarbital sodium (USP)
Secbutabarbital sodium (INN)
  ","Butabarb (TN)
Butisol sodium (TN)
  ","
",Sedative-hypnotic,,,,,,,
"D00700
","Mephobarbital (JAN/USP)
Methylphenobarbital (INN)
  ","Mebaral (TN)
  ","
",Anticonvulsant,Sedative-hypnotic,,,,,,
"D00701
","Phenobarbital sodium (JAN/USP/INN)
  ","Luminal sodium (TN)
  ","Anxiety-tension states [DS:H01662]
Hyperthyroidism [DS:H01645]
Insomnia [DS:H01609]
  ",Antianxiety,Anticonvulsant,Sedative-hypnotic,,,,,
"D00702
","Buspirone hydrochloride (USP)
  ","Buspar (TN)
  ","Generalized anxiety disorder [DS:H01662]
  ",Antianxiety,Minor tranquilizer,Serotonin 5-HT1A receptor agonist,,,,,
"D00703
","Ethinamate (JAN/INN)
  ","Valmid (TN)
  ","
",Sedative-hypnotic,,,,,,,
"D00704
","Ethchlorvynol (JAN/USP/INN)
  ","Placidyl (TN)
  ","
",Sedative-hypnotic,,,,,,,
"D00705
","Paraldehyde (USP)
  ","Paral (TN)
  ","
",Sedative-hypnotic,,,,,,,
"D00706
","Zolpidem tartrate (JP18/USP)
  ","Ambien (TN)
Intermezzo (TN)
  ","Insomnia [DS:H01609]
  ",Sedative-hypnotic,,,,,,,
"D00707
","Fomepizole (JAN/USAN/INN)
  ","Antizol (TN)
  ","
",Antidote (ethyleneglycol,methanol),Alcohol dehydrogenase inhibitor,,,,,
"D00708
","Ethotoin (JAN/USP/INN)
  ","Accenon (TN)
Peganone (TN)
  ","
",Antiepileptic,,,,,,,
"D00709
","Levetiracetam (JAN/USP/INN)
  ","Keppra (TN)
E keppra (TN)
  ","Juvenile myoclonic epilepsy [DS:H00808]
  ",Antiepileptic,,,,,,,
"D00710
","Valproate sodium (USAN)
Sodium valproate (JP18)
  ","Depakene (TN)
Selenica (TN)
  ","
",Anticonvulsant,Antimanic,Antimigraine,Antiepileptic,,,,
"D00711
","Ketamine hydrochloride (JP18/USP)
  ","Ketalar (TN)
  ","
",Anesthetic (intravenous),NMDA receptor antagonist,,,,,,
"D00712
","Methohexital sodium (USP)
  ","Brevital sodium (TN)
  ","
",Anesthetic (intravenous),Sedative-hypnotic,,,,,,
"D00713
","Thiamylal sodium (JP18)
  ","Surital (TN)
  ","
",Anesthetic (intravenous),,,,,,,
"D00714
","Thiopental sodium (JP18/USP/INN)
  ","Pentothal (TN)
  ","
",Anesthetic (intravenous),Anticonvulsant,,,,,,
"D00715
","Methscopolamine bromide (USP)
Hyoscine methobromide (INN)
  ","Pamine (TN)
  ","Peptic ulcer [DS:H01634]
  ",Antispasmodic,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00716
","Clidinium bromide (USP/INN)
  ","Quarzan (TN)
  ","
",Muscarinic acetylcholine receptor antagonist,,,,,,,
"D00717
","Dicyclomine hydrochloride (JAN/USP)
Dicycloverine hydrochloride
  ","Bentyl (TN)
Urispas (TN)
  ","Functional bowel/irritable bowel syndrome [DS:H01615]
  ",Antispasmodic,Muscarinic acetylcholine receptor antagonist,,,,,,
